pid,product_name,brand,product_url,retail_price,discounted_price,product_rating
ACCDUV7ZK6CYBYTG,"Enthopia Back Cover for iPad Air, iPad 5",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-air-5/p/itmduv7z9qyfewck?pid=ACCDUV7ZK6CYBYTG,2895,1499,No rating available
ACCDUV7ZKGJGMHKJ,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-mini-mini-2-retina/p/itmduv7zqerr5urb?pid=ACCDUV7ZKGJGMHKJ,2895,1699,No rating available
ACCDUV7ZMDFYCEKD,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-mini-mini-2-retina/p/itmduv7zbrxjvpyf?pid=ACCDUV7ZMDFYCEKD,2895,1699,No rating available
ACCDUV7ZMZWYMW3Y,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-mini-mini-2-retina/p/itmduv7zbyx5whsu?pid=ACCDUV7ZMZWYMW3Y,2895,1699,No rating available
ACCDUV7ZNQMHDHFJ,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-mini-mini-2-retina/p/itmduv7zgdxthezr?pid=ACCDUV7ZNQMHDHFJ,2895,1699,No rating available
ACCDUV7ZQJRDRS8G,"Enthopia Back Cover for iPad Air, iPad 5",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-air-5/p/itmduv7zmzjzzqxw?pid=ACCDUV7ZQJRDRS8G,2895,1499,No rating available
ACCDUV7ZQK3EC2GM,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-mini-mini-2-retina/p/itmduv7zrhrdjfrm?pid=ACCDUV7ZQK3EC2GM,2895,1699,No rating available
ACCDUV7ZQVHFKVMJ,"Enthopia Back Cover for iPad Air, iPad 5",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-air-5/p/itmduv7zzyqnydt3?pid=ACCDUV7ZQVHFKVMJ,2895,1499,No rating available
ACCDUV7ZRHN2CDRY,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-mini-mini-2-retina/p/itmduv7zkwny8kpn?pid=ACCDUV7ZRHN2CDRY,2895,1699,No rating available
ACCDUV7ZS6GVUUUF,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-mini-mini-2-retina/p/itmduv7z7zasq4kk?pid=ACCDUV7ZS6GVUUUF,2895,1699,No rating available
ACCDUV7ZSDGZCGJ2,"Enthopia Back Cover for iPad Air, iPad 5",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-air-5/p/itmduv7z9dfbhzzs?pid=ACCDUV7ZSDGZCGJ2,2895,1499,No rating available
ACCDUV7ZSY9YXJ3P,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-mini-mini-2-retina/p/itmduv7zwczecy2z?pid=ACCDUV7ZSY9YXJ3P,2895,1699,No rating available
ACCDUV7ZUNZZHNCX,"Enthopia Back Cover for iPad Air, iPad 5",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-air-5/p/itmduv7zyfkwrnh2?pid=ACCDUV7ZUNZZHNCX,2895,1499,No rating available
ACCDUV7ZVBA7CHWX,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-mini-mini-2-retina/p/itmduv7za6nfjumh?pid=ACCDUV7ZVBA7CHWX,2895,1699,No rating available
ACCDUV7ZVBEYAJQV,"Enthopia Back Cover for iPad Air, iPad 5",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-air-5/p/itmduv7z6suffrgv?pid=ACCDUV7ZVBEYAJQV,2895,1499,No rating available
ACCDUV7ZYXGM4FX3,"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",Enthopia,http://www.flipkart.com/enthopia-back-cover-ipad-mini-mini-2-retina/p/itmduv7zrhscxpzr?pid=ACCDUV7ZYXGM4FX3,2895,1699,No rating available
ACCDV4GCKJQEUHZS,JJC LH-63  Lens Hood,JJC,http://www.flipkart.com/jjc-lh-63-lens-hood/p/itmdv4gchhkc68p5?pid=ACCDV4GCKJQEUHZS,999,799,No rating available
ACCDV4GCSFZVBM4Z,JJC LH-75II  Lens Hood,JJC,http://www.flipkart.com/jjc-lh-75ii-lens-hood/p/itmdv4gcmgy6uhug?pid=ACCDV4GCSFZVBM4Z,1675,1649,No rating available
ACCDV4GCTTG8JKWS,JJC LH-W65B  Lens Hood,JJC,http://www.flipkart.com/jjc-lh-w65b-lens-hood/p/itmdv4gchmnggzaa?pid=ACCDV4GCTTG8JKWS,2425,2385,No rating available
ACCDVDC8S5JWEE6X,Lapguard Toshiba Satellite Pro A200 6 Cell Laptop Battery,Lapguard,http://www.flipkart.com/lapguard-toshiba-satellite-pro-a200-6-cell-laptop-battery/p/itmdvdc8mfxrzsca?pid=ACCDVDC8S5JWEE6X,3999,1799,No rating available
ACCDVFK68FPKEFQH,JJC LH-73  Lens Hood,JJC,http://www.flipkart.com/jjc-lh-73-lens-hood/p/itmdvfk69geutwmj?pid=ACCDVFK68FPKEFQH,2400,1799,No rating available
ACCDVFK6JVHVTSHM,JJC LH-J40B  Lens Hood,JJC,http://www.flipkart.com/jjc-lh-j40b-lens-hood/p/itmdvfk6exhvfmcc?pid=ACCDVFK6JVHVTSHM,2250,2250,No rating available
ACCDVFK6KGJUGSRH,JJC LH-83E  Lens Hood,JJC,http://www.flipkart.com/jjc-lh-83e-lens-hood/p/itmdvfk65z7vaybu?pid=ACCDVFK6KGJUGSRH,1075,899,No rating available
